,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,agencyLGUsPresentPreparedness,declarationOfCalamity,evacuationPlan,evacuationCenters,rescueUnit,rescueEquipment,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresentAssistance,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers1,itemCostOthers2,srrDone,policyChanges,postStructureCost,postTraining,reference,otherDescription,otherDescription,otherDescription,startDate,endDate,id
215,Tropical Cyclone,243 destructive cyclones from 1970-2003,1982,,,Philippines,,,,,,,,,389,402,228,398991,2149167,84887,504162,84887,100874,607,663,379,,,,,,,,5019000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",21 typhoons,,,1982-01-01,1982-12-31,82a645254efe48ec895ef5acf1b7843e
216,Tropical Cyclone,243 destructive cyclones from 1970-2003,1981,,,Philippines,,,,,,,,,484,1922,264,250325,1472417,93985,469892,93965,159251,369,812,91,,,,,,,,6278000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",23 typhoons,,,1981-01-01,1981-12-31,4570a33cc4fc45ab8f0085a269efd731
217,Tropical Cyclone,243 destructive cyclones from 1970-2003,1980,,,Philippines,,,,,,,,,,,,,,,,,,370,912,194,,,,,,,,4352000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",23 typhoons,,,1980-01-01,1980-12-31,f4b7ca77f4454a00b65f79ce6a8cd1c3
218,Tropical Cyclone,243 destructive cyclones from 1970-2003,1979,,,Philippines,,,,,,,,,69,79,68,155919,924326,54283,271415,54283,58649,72,178,167,,,,,,,,1218000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",22 typhoons,,,1979-01-01,1979-12-31,5d58690466d24ae395ebeac8a3ad3257
219,Tropical Cyclone,243 destructive cyclones from 1970-2003,1978,,,Philippines,,,,,,,,,663,834,395,520405,2853104,68376,342488,68376,94147,423,502,651,,,,,,,,5079000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",25 typhoons,,,1978-01-01,1978-12-31,7dac91a83e17466dac72a414678bc05d
220,Tropical Cyclone,243 destructive cyclones from 1970-2003,1977,,,Philippines,,,,,,,,,99,118,23,137411,812638,15679,78398,15679,16115,227,108,0,,,,,,,,602000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",19 typhoons,,,1977-01-01,1977-12-31,2fb585d1b33045d390ab2a6c041c9485
221,Tropical Cyclone,243 destructive cyclones from 1970-2003,1976,,,Philippines,,,,,,,,,313,37,185,504510,2744379,3917,23502,3917,4912,433,176,115,,,,,,,,7088000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",22 typhoons,,,1976-01-01,1976-12-31,35e97fb93e294fd7af02a726c6f72a24
222,Tropical Cyclone,Typhoon Endang,"May 19-28, 1976",,,Region 1|2|3|4,,,,,,,,,200,20,147,500054,2719415,3792,22752,3792,4192,350.837,153,104.046,,,,,,,,4018000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",150 kph,,,1976-05-19,1976-05-28,df3805a33ebc447cab0e5f446079c976
223,Tropical Cyclone,Typhoon Huaning,"June 22 - July 2, 1976",,,Region 1|2|3|4|5|8|9|10,,,,,,,,,3,,23,2702,16212,110,660,110,,20.677,5.74,1.045,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",166 kph,,,1976-06-22,1976-07-02,e99a3bcdeec44fccbdc54fc7872a1e3c
224,Tropical Cyclone,Typhoon Nitang,"August 8-17, 1976",,,Bataan|Batangas|Palawan|Guimaras,,,,,,,,,,,,,,,,,,1.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",220 kph,,,1976-08-08,1976-08-17,300553a96d4741318e767a20b86f7483
225,Tropical Cyclone,Typhoon Toyang,"September 13-17, 1976",,,Batangas|Occidental Mindoro,,,,,,,,,,,,13,48,15,90,15,,0.432,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",65 kph,,,1976-09-13,1976-09-17,46cf0dfcd5694d378d056efff786ae60
226,Tropical Cyclone,Tropical Storm Aring,"December 2-7, 1976",,,Samar,,,,,,,,,110,17,15,1741,8704,,,,,42.685,16.485,10.05,,,,,,,,3070000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",93 kph,,,1976-12-02,1976-12-07,f4746a0ac9c74510ae6b99d1b39db1b6
227,Tropical Cyclone,Tropical Depression Kayang,"December 29-31, 1976",,,Leyte,,,,,,,,,,,,,,,,,,0.8500000000000001,0.647,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",47 kph,,,1976-12-29,1976-12-31,46a5961e0a13499b87d0236ae8c26545
229,Tropical Cyclone,Typhoon Auring,"January 22-26, 1975",,,Visayas,,,,,,,,,39,8,8,4518,26523,698,4188,698,1547,7.662,3.513,5.03,,,,,,,,166000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1975-01-22,1975-01-26,ce3a0c70cfc8422dbf65337c29cef59d
230,Tropical Cyclone,Typhoon Mameng,"October 9-13, 1975",,,Batanes,,,,,,,,,,,,,,,,,,0.885,1.085,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1975-10-09,1975-10-13,447d0c25d7e1490a88c4b724d800b3e7
232,Tropical Cyclone,Typhoon Bising,"January 8-11, 1974",,,Region 1|2|3|4|5|6,,,,,,,,,65,,40,1367,6421,,,,,10.383,22.815,1.293,,,,,,,,309000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",120 kph,,,1974-01-08,1974-01-11,fdcc0dfe3c074cc2a41ff14a63fed244
233,Tropical Cyclone,Typhoon Iliang,"July 18-21, 1974",,,Region 1|2|3|4,,,,,,,,,21,16,46,2400,14400,140,840,140,2260,9.699,23.08,5.837,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",165 kph,,,1974-07-18,1974-07-21,fe1ac22239d54e9186fc51a8abf7b645
234,Tropical Cyclone,Typhoon Susang,"October 8-12, 1974",,,Region 1|2|3|6|7,,,,,,,,,26,40,3,7142,35562,,,,,12.448,16.351,16.408,,,,,,,,53000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",231 kph,,,1974-10-08,1974-10-12,82796451da004241b4ad6321812c79ee
235,Tropical Cyclone,Typhoon Tering,"October 14-17, 1974",,,Region 1|2|3|5|6,,,,,,,,,13,9,,7756,28486,,,,,4.913,59.391,,,,,,,,,208000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",110 kph,,,1974-10-14,1974-10-17,6a06112640d04ccfae7e89a0b45f8c6d
236,Tropical Cyclone,Typhoon Wening,"October 25-26, 1974",,,Region 1|2|3,,,,,,,,,23,50,,55575,227902,,,,,80.04,34.388,2.971,,,,,,,,877000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",269 kph,,,1974-10-25,1974-10-26,fa6bbcde8a504fb99a7469afee28f60b
237,Tropical Cyclone,Typhoon Yaning,"October 31 - November 2, 1974",,,Zamboanga del Sur|Laguna,,,,,,,,,1,1,,,,,,,,0.14,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",96 kph,,,1974-10-31,1974-11-02,8508861e66c54011bf9eb8b886b42691
238,Tropical Cyclone,Typhoon Aning,"November 4-7, 1974",,,Region 1|2|4|5,,,,,,,,,3,2,,22835,131609,1301,7806,1301,2329,0.391,1.547,0.077,,,,,,,,79000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",156 kph,,,1974-11-04,1974-11-07,fca83ca9a7034abaafb6ab81c64e4705
239,Tropical Cyclone,Typhoon Bidang,"November 24-29, 1974",,,Central Luzon|Visayas|National Capital Region (NCR),,,,,,,,,1,,,,,,,,,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",141 kph,,,1974-11-24,1974-11-29,a98ddae396f74d7c94b60f6973dda3a8
241,Tropical Cyclone,243 destructive cyclones from 1970-2003,"October 2-9, 1973",,,Region 1|2|3|4|5,,,,,,,,,1,,,,,,,,,7.687,27.523,3.952,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",150 kph,,,1973-10-02,1973-10-09,c9828a4bc124414b995523b6e530559f
242,Tropical Cyclone,243 destructive cyclones from 1970-2003,"November 18-24, 1973",,,Region 6|7|8|9|10,,,,,,,,,73,24,89,,,,,,,33.927,156.774,6.577,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",89 kph,,,1973-11-18,1973-11-24,9a0bf314a07b44e8961061df60d7d96a
243,Tropical Cyclone,243 destructive cyclones from 1970-2003,"November 24-29, 1973",,,Cavite|Pampanga|Nueva Ecija,,,,,,,,,,,,,,,,,,0.77,5.401,1.504,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1973-11-24,1973-11-29,99e5337a86ac4dbcae98ca773632a83f
245,Tropical Cyclone,Tropical Storm Asiang,"January 5-9, 1972",,,Eastern Visayas,,,,,,,,,204,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1972-01-05,1972-01-09,8c7794fb1bce4f03a88d962ae12cdaab
246,Tropical Cyclone,Typhoon Konsing,"January 23-25, 1972",,,Region 3|4|5,,,,,,,,,,,,,,,,,,14.596,5.592,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1972-01-23,1972-01-25,e9efafbd1c24406cba46ac55888b1fcc
247,Tropical Cyclone,Typhoon Toyang,"November 4-5, 1972",,,Visayas|I|II|CAR,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1972-11-04,1972-11-05,546624e091da421290a63f673b1cfc4f
248,Tropical Cyclone,Typhoon Undang,"December 1-8, 1972",,,Northern Mindanao|Visayas|Palawan,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1972-12-01,1972-12-08,bd4cfd8b905b406eb4dcf61566f3025b
250,Tropical Cyclone,Typhoon Diding,"April 23-26, 1971",,,Visayas,,,,,,,,,56,39,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",160 kph,,,1971-04-23,1971-04-26,a4c7a329669a4703ad211fcc4b77a349
251,Tropical Cyclone,Typhoon Herming,"May 25-27, 1971",,,V|IV-A|VIII,,,,,,,,,13,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",150 kph,,,1971-05-25,1971-05-27,c48a5ff3afd944bfa41ea6070d11e625
252,Tropical Cyclone,Typhoon Mambing,"June 23-26, 1971",,,Visayas|V|IV-A,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",150 kph,,,1971-06-23,1971-06-26,dd68af0182f94a8abb00f331e074f7fa
253,Tropical Cyclone,Tropical Storm Krising,"October 6-11, 1971",,,Luzon,,,,,,,,,10,8,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",100 kph,,,1971-10-06,1971-10-11,2e00ea2ed62c487aabc92b12626587a0
254,Tropical Cyclone,Tropical Storm Dading,"October 11-13, 1971",,,I|CAR|II|IIII,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",70 kph,,,1971-10-11,1971-10-13,d2c55186712149739888d5e10c1d3223
255,Tropical Cyclone,Tropical Storm Goying,"October 19-22, 1971",,,Northern Mindanao,,,,,,,,,6,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",100 kph,,,1971-10-19,1971-10-22,d100030535124e43bf00b03ff90771f9
257,Tropical Cyclone,Typhoon Atang,"February 23-27, 1970",,,V|VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",220 kph,,,1970-02-23,1970-02-27,75ffd36760424ad2a48b0089236d2e3a
258,Tropical Cyclone,Tropical Storm Oyang,"September 4-6, 1970",,,V|IV-A|VIII,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",90 kph,,,1970-09-04,1970-09-06,442f76c083dd4361abff2c62492520ec
259,Tropical Cyclone,Typhoon Pitang,"September 8-12, 1970",,,Misamis Occidental|Davao del Sur|Samar,,,,,,,,,,,,1326,7716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",240 kph,,,1970-09-08,1970-09-12,a63d66af609a499aab3e14e5dbf50e4b
260,Tropical Cyclone,Typhoon Sening,"September 12-15, 1970",,,Region 2|3|4|6,,,,,,,,,575,1593,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",275 kph,,,1970-09-12,1970-09-15,272e321724c64a3b81cccdb7bd105061
261,Tropical Cyclone, Tropical Storm Titang,"October 16-22, 1970",,,Northern Mindanao|Western Visayas,,,,,,,,,631,76,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",100 kph,,,1970-10-16,1970-10-22,96edc36143b145da9d54ed7e4cdf650a
262,Tropical Cyclone,Typhoon Yoling,"November 17-20, 1970",,,Region 3|4|5,,,,,,,,,80,284,17,17044,102264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",200 kph,,,1970-11-17,1970-11-20,9417a90f21d6489d952b4387d5aea8aa
263,Tropical Cyclone,Typhoon Norming,"December 11-15, 1998",,,Region 3|4|5|6|8,Landslide (Wet)|Flash Flood|Flood (General),"PAGASA, LGU","Severe Weather Bulletin, Flood Advisory",,182,"NDCC, WESCOM HQ",,516,33,30,36,70620,297171,6240,38837,3234,6423,278.912,644.322,137.665,Total black out due to power breakdown from damaged posts,out of service,partially to fully damages,boats capsized,,"preventive discharges without detrital effects to communities for dams Angat, Ambuklao, Magat, Kalayaan",need restoration of pumps,,"NDCC, LGU, DOH, PNRC",,,,"100 rice sakcs, 130 canned goods",,with provision,,,,with provision,,,"NDCC, AFP","Enhancement of warning/alert systems for community, special concern for fisherfolk. Improvement of field reporting, monitoring, and communication.",,,"NDCC. 1998. Typhoon Norming 11-15 December 1998, OCD NDCC Report, Quezon City, Philippines.","Typhoon Norming, strongest sustained wind 150 kph, gustiness 150 kph, movement west southwest at 24 kph towards Vietnam, entered Philippine Area of Responsibiliy on December 9 10:00AM at 55 kph 970km east southeast of Guian, landfall over Eastern Samar at December 10 4:00PM, by December 11 4:00PM was 80km west southwest of Coron",,,1998-12-11,1998-12-15,a388cf189586454abc4003d511089bfa
264,Tropical Cyclone,Typhoon Toyang,"November 29 - December 2, 2000",,,Region 7|Region 8|CARAGA,Landslide (Wet)|Flash Flood|Flood (General),"PAGASA, LGU","Severe Weather Bulletin, Flood Advisory",,105,"NDCC, VISCOM",,286,9,3,3,9891,50927,4701,22811,1272,57,,0.58,,reported power interruptions,,5 bridges collapsed,1459 stranded ferry passengers,,,,262560,"LGU, City Council of Toledo, DPWH, AFP, NDCC",,,,,,,,,,,,,"NDCC, AFP",,,,NDCC OCD Final Report,"Typhoon Toyang entered PAR 8AM Nov 27, expected landfall by Nov 29, maximum winds of 75 kph, gustiness up to 90 kph, as of Dec 1 provinces lowered to Signal No 1 with only 55 kph wind and Dec 2 over Sibuyan Sea",International Name Typhoon Rumbia (Toyang). Total of 114 evac centers used.,,2000-11-29,2000-12-02,0d94e13cbb15422899ada6b504203bf7
265,Tropical Cyclone,Southwest Monsoon Rains,"June 28 - July 14, 2002",,,Region 1|3|4|6|11|12|NCR|CAR,Landslide (Wet)|Flash Flood|Flood (General),PAGASA,Severe Weather Bulletin,,75,,,2125,61,41,5,425072,1994369,3632,16593,404,2059,104.103,287.393,0.71,,,"Some roads not passable, ",Several maritime incidents,,dam gates opened for Ambuklao and Binga Dams,,25602755,"NDCC, LGU, AFP, DSWD, DOH, DOTC, PCG, PNRC, NFA",,,,,,,,,,,,,,,,,,Two weeks of rain,"Typhoon Rammasun (Florita, June 28-July 3), Typhoon Chataan (Gloria, June 7-9), Typhoon Nakri (Hambalos, July 9), Typhoon Halong (Inday, July 12-14)",,2002-06-28,2002-07-14,bb939dc3cefb47ebaa5b90f206921c3f
266,Tropical Cyclone,Tropical Depression Milenyo,"August 11-14, 2002",,,Region 4|5|6|7|8|12|NCR|CARAGA,Landslide (Wet)|Flash Flood|Flood (General),"PAGASA, LGU","Severe Weather Bulletin, Flood Advisory",,15,NDCC,,250,35,22,21,38634,194451,2180,10998,208,652,87.918,83.04,0.631,power failure,,"2 damaged bridges, 1 collapsed; roads wash out and eroded, plus major road landslides","Several maritime accidents, fishing boats missing, ",,,,6152531.23,"NDCC, LGU,AFP, PCG, DPWH, DSWD, NGO",,,615403,,,,,,,,,,"NDCC, AFP",Release of National Calamity Fund or 5% local CF for rehabilitation. Provision for livelihood assistance for farmers affected.,,,NDCC OCD Final Report,Typhoon Milenyo,,,2002-08-11,2002-08-14,bcbac215b31441fd848f16f1b80c9ff7
268,Fire (Misc),Fire Incident Summary,"October 2 - 28, 2004",,,"NCR, Pampanga, Surigao del Norte",,"BFP, CDAG",3rd to 5th Alarm,,,,,12,10,4,,151,,,,149,,75,,,,,,,,,,,"BFP, CDAG, NDCC",,,,,,,,,,,,,,,,,,"11 fire incidents reported in NCR, 1 in Pampangga","Summary of all fire events in October 2004, done by CCLit and not from NDCC Report",,2004-10-02,2004-10-28,cd34ec988eca40fb83b446c33ac2dd83
269,Fire (Misc),"San Jose St, Guadalupe Nuevo Fire",2004-10-28 00:00:00,,,Makati City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-28,2004-10-28,9e123a65a91a468bb08526c9bd5f0cc9
270,Fire (Misc),Brgy Holy Spirit Fire,2004-10-26 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-26,2004-10-26,80e02ea57e2c405ba72a597ad10d3710
271,Fire (Misc),FTI Complex Fire,2004-10-25 00:00:00,,,Taguig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-25,2004-10-25,c463e05b1ce1428bb9bd52d25d149f89
272,Fire (Misc),Tomas Mapua St Fire,2004-10-23 00:00:00,,,"Sta Cruz, Manila",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-23,2004-10-23,446d7d2d69e040a2bf2895456bfba5e8
273,Fire (Misc),"Scout Rallos, Kamuning Fire",2004-10-19 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-19,2004-10-19,59a59d22d62d4cbb9cfa7d8c7ae0b835
274,Fire (Misc),"Vista Verde, North Caloocan Fire",2004-10-17 00:00:00,,,Caloocan City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-17,2004-10-17,2af3e46ff338420da28294f1de2b8b61
275,Fire (Misc),"Oroqueta Rd., Fire",2004-10-14 00:00:00,,,Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-14,2004-10-14,cd462caa52bd400cabb580949a6e8048
276,Fire (Misc),"Dalanghita St, Project 2 Fire",2004-10-13 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-13,2004-10-13,b3eb3c1140d541548ef77d51c06eeb8c
277,Fire (Misc),Aurora Market at P Burgos St near Katipunan Fire,2004-10-11 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-11,2004-10-11,242824edf6f8434285fa9b59c043ead3
278,Fire (Misc),Brgy Poblacion 6 Fire,2004-10-11 00:00:00,,,"Brgy Poblacion 6, Dapa, Surigao del Norte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-11,2004-10-11,498341b11be04ec298d0e50166fbd268
279,Fire (Misc),Bukal Fire,2004-10-07 00:00:00,,,"Brgy Poblacion, Muntinlupa City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-07,2004-10-07,0a792a54253a4028bc1b980a9778291c
280,Fire (Misc),Consunji St. Fire,2004-10-04 00:00:00,,,"San Fernando, Pampangga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-04,2004-10-04,6284b371b19649bba81f1f49f23f377e
285,Tropical Cyclone,Typhoon Tonyo,2004-10-24 00:00:00,,,Region II,Landslide (Wet)|Flash Flood|Flood (General),PAGASA,Severe Weather Bulletin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Typhoon Tonyo,"No damage reported, should this be included?",,2004-10-24,2004-10-24,50c7eafa3ea74941b2e15a8133ac4629
286,Tropical Cyclone,Typhoon Siony summary,"October 13-23, 2004",,,Region II|V,Landslide (Wet)|Flash Flood|Flood (General)|Tornado,PAGASA,Severe Weather Bulletin,,,,,182,,6,,44378,221890,4441,22295,5,,,,,,,,,,,,,"NDCC, LGU, MERN, DSWD",,,Rice distributed,,,,,,,,,,,,,,,"During Typhoon Siony, heavy rains and ITCZ affect ARMM region, particularly Maguindanao. Caused Totnado in Brgy Polloc, Parang and flashfloods in 17 municipalities where 44378 families were affected.",,,2004-10-13,2004-10-23,2f6e5167d42a482cb40a517b9d8bd632
287,Tornado,Brgy Polloc Tornado,2004-10-18 00:00:00,,,"Parang, Maguindanao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-18,2004-10-18,c47027527c144e47b186dde992c81f7f
288,Flash Flood,Flash Flood,2004-10-15 00:00:00,,,Maguindanao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-15,2004-10-15,b077dc1bb5984580bbdf5e824cbca027
289,Tropical Cyclone,Typhoon Rolly,"October 5-8, 2004",,,Region II,Flood (General)|Flash Flood|Rogue Wave|Coastal Flood,PAGASA,Severe Weather Bulletin,,,,,6,5,3,1,14,84,,,,14,17,,,,,,,,,,,,,,50 packs of food,,,,,,,,,,,,,,,"During Tropical Storm Rolly, floods occured in Brgy Baclas and Inauaya, Cauayan where 3 drowned, strong waves in Galas Beach Dipolog (washed away 4, 3 rescued 1 missing) and Brgy Labuan Zamboanga (1 dead, 14 houses affected), a highway cracked due to rains in Zamboanga, and a maritime accident that resulted in drowning of a person who fell overboard in Brgy Rio Hondo, Zamboanga. Typhoon Rolly had strong winds up to 75 kph and gustiness of 90 kph, and was heading north northwest.",,,2004-10-05,2004-10-08,283e8043db7f4e41a4660f94c6636c11
290,Rockfall (Dry),"Boulder Fall in Brgy Pinagbayangang, Pagbilao, Quezon",2004-10-09 00:00:00,13.967337,121.6895,"Tanay, Rizal",,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boulder fell on a lady when she was digging in a deep ravine in Tanay, Rizal",,,2004-10-09,2004-10-09,29325b471ed043d3a895945fb7e19774
291,Earthquake (Ground Movement),Earthquake,2004-10-26 00:00:00,,,Region 8,Ground Movement,PHIVOLCS,Earthquake Bulletin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnitude 3.8 50 km west of Tagbilaran,"No damage reported, should this be included?",,2004-10-26,2004-10-26,75caf7c36e854b67a86303e6fec4561f
