,eventClass,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,agencyLGUsPresentPreparedness,declarationOfCalamity,evacuationPlan,evacuationCenters,rescueUnit,rescueEquipment,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresentAssistance,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers1,itemCostOthers2,srrDone,policyChanges,postStructureCost,postTraining,reference,otherDescription,otherDescription,otherDescription,startDate,endDate,id
203,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1994,,,Philippines,,,,,,,,,242,247,48,617228,3054232,62344,328114,62344,223359,940,1881,377,,,,,,,,171376000,,,,,,,,,,,,530000,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",25 typhoons,,,1994-01-01,1994-12-31,49a109e4242442ba83638706b7797243
204,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1993,,,Philippines,,,,,,,,,794,1634,200,1404446,7363591,339986,1686707,164174,444909,3110,10280,82,,,,,,,,22092000,,,7500000,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",32 typhoons,,,1993-01-01,1993-12-31,4efdd23f6c95441890178f536aae7ca6
205,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1992,,,Philippines,,,,,,,,,118,95,53,352950,1755811,3314,16570,3314,8006,2434,2613,25,,,,,,,,57832000,,,,,,,,,,,,60000,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",16 typhoons,,,1992-01-01,1992-12-31,bb73705ea1934a609b1d769d85d589ca
206,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1991,,,Philippines,,,,,,,,,5199,355,1281,150894,759335,15458,77433,15458,83664,1191,2775,221,,,,,,,,127664000,,,6390561,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",19 typhoons,,,1991-01-01,1991-12-31,04a46a1876d34845b698aac4d090731f
207,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1990,,,Philippines,,,,,,,,,624,1337,257,1127505,6053319,222831,1118675,222831,634676,1363,10094,1223,,,,,,,,27627000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",20 typhoons,,,1990-01-01,1990-12-31,d42f42e4c74148da95e2325df3c5a53e
208,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1989,,,Philippines,,,,,,,,,382,1087,89,502600,2582822,57157,325535,56473,184584,1222,3196,75,,,,,,,,22870000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",19 typhoons,,,1989-01-01,1989-12-31,ab64e275383f47cd8a3b96d222a3afa4
209,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1988,,,Philippines,,,,,,,,,429,468,195,1173994,6081572,618453,3242364,134344,585732,1225,7256,213,,,,,,,,113102000,,,1600000,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",20 typhoons,,,1988-01-01,1988-12-31,247716e7437d475a9c7723074e76e8da
210,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1987,,,Philippines,,,,,,,,,1020,1455,213,668628,3691265,242336,1454016,242336,345370,970,2752,363,,,,,,,,18770000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",16 typhoons,,,1987-01-01,1987-12-31,48972899aee54a2e87bfcdc91f0fa278
211,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1986,,,Philippines,,,,,,,,,171,155,43,287240,1524301,7106,42636,3162,14595,488,1292,93,,,,,,,,10704000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",21 typhoons,,,1986-01-01,1986-12-31,e5b129bf904445d9b6e83e2bf3b40a69
212,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1985,,,Philippines,,,,,,,,,211,17,300,318106,1643142,57730,346290,8204,211151,123,2049,360,,,,,,,,3001000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",17 typhoons,,,1985-01-01,1985-12-31,97b602a31c304ad895cb5abf4d10e5b7
213,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1984,,,Philippines,,,,,,,,,1979,4426,732,741510,4048805,310646,1941697,310646,313391,1852,3138,879,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",20 typhoons,,,1984-01-01,1984-12-31,e63af9f334a24b1e9364e582c4605f45
214,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1983,,,Philippines,,,,,,,,,126,168,28,140804,747155,29892,179366,29892,85072,144,362,36,,,,,,,,2068000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",23 typhoons,,,1983-01-01,1983-12-31,2590294d4e924a929de18355a17781d2
215,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1982,,,Philippines,,,,,,,,,389,402,228,398991,2149167,84887,504162,84887,100874,607,663,379,,,,,,,,5019000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",21 typhoons,,,1982-01-01,1982-12-31,845341cd1ca9445798a7d0bece74d540
216,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1981,,,Philippines,,,,,,,,,484,1922,264,250325,1472417,93985,469892,93965,159251,369,812,91,,,,,,,,6278000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",23 typhoons,,,1981-01-01,1981-12-31,a7188d07cc9e4c08a2415798af40434d
217,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1980,,,Philippines,,,,,,,,,,,,,,,,,,370,912,194,,,,,,,,4352000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",23 typhoons,,,1980-01-01,1980-12-31,529400edbc0948049940caa19d9d6d8d
218,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1979,,,Philippines,,,,,,,,,69,79,68,155919,924326,54283,271415,54283,58649,72,178,167,,,,,,,,1218000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",22 typhoons,,,1979-01-01,1979-12-31,e978efc177a44c73b3a7d99036121fc3
219,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1978,,,Philippines,,,,,,,,,663,834,395,520405,2853104,68376,342488,68376,94147,423,502,651,,,,,,,,5079000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",25 typhoons,,,1978-01-01,1978-12-31,3f7624b40401404598ee53b36919100f
220,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1977,,,Philippines,,,,,,,,,99,118,23,137411,812638,15679,78398,15679,16115,227,108,0,,,,,,,,602000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",19 typhoons,,,1977-01-01,1977-12-31,a6309078ed3248a7b2b282e4195b27b6
221,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,1976,,,Philippines,,,,,,,,,313,37,185,504510,2744379,3917,23502,3917,4912,433,176,115,,,,,,,,7088000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",22 typhoons,,,1976-01-01,1976-12-31,19da122b17a947deaad62017a1301cd7
222,M,Tropical Cyclone,Typhoon Endang,"May 19-28, 1976",,,Region 1|2|3|4,,,,,,,,,200,20,147,500054,2719415,3792,22752,3792,4192,350.837,153,104.046,,,,,,,,4018000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",150 kph,,,1976-05-19,1976-05-28,55c0efceae444caaa85afbfdba066fc2
223,M,Tropical Cyclone,Typhoon Huaning,"June 22 - July 2, 1976",,,Region 1|2|3|4|5|8|9|10,,,,,,,,,3,,23,2702,16212,110,660,110,,20.677,5.74,1.045,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",166 kph,,,1976-06-22,1976-07-02,d62b401815e5411e8e2c4653411d2431
224,M,Tropical Cyclone,Typhoon Nitang,"August 8-17, 1976",,,Bataan|Batangas|Palawan|Guimaras,,,,,,,,,,,,,,,,,,1.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",220 kph,,,1976-08-08,1976-08-17,7e361cdd6cf34b3d883d40318d3da900
225,M,Tropical Cyclone,Typhoon Toyang,"September 13-17, 1976",,,Batangas|Occidental Mindoro,,,,,,,,,,,,13,48,15,90,15,,0.432,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",65 kph,,,1976-09-13,1976-09-17,2d38cbe9e84f482d872899b3880caf86
226,M,Tropical Cyclone,Tropical Storm Aring,"December 2-7, 1976",,,Samar,,,,,,,,,110,17,15,1741,8704,,,,,42.685,16.485,10.05,,,,,,,,3070000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",93 kph,,,1976-12-02,1976-12-07,88fae49418b8475f8840297c22c1b5c4
227,M,Tropical Cyclone,Tropical Depression Kayang,"December 29-31, 1976",,,Leyte,,,,,,,,,,,,,,,,,,0.8500000000000001,0.647,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",47 kph,,,1976-12-29,1976-12-31,e32678336fed4d069da8158d471fcaab
229,M,Tropical Cyclone,Typhoon Auring,"January 22-26, 1975",,,Visayas,,,,,,,,,39,8,8,4518,26523,698,4188,698,1547,7.662,3.513,5.03,,,,,,,,166000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1975-01-22,1975-01-26,b8183012e2cf488b85699db3b37fd054
230,M,Tropical Cyclone,Typhoon Mameng,"October 9-13, 1975",,,Batanes,,,,,,,,,,,,,,,,,,0.885,1.085,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1975-10-09,1975-10-13,8d10f5916e924d648b93e6b3fe4435e1
232,M,Tropical Cyclone,Typhoon Bising,"January 8-11, 1974",,,Region 1|2|3|4|5|6,,,,,,,,,65,,40,1367,6421,,,,,10.383,22.815,1.293,,,,,,,,309000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",120 kph,,,1974-01-08,1974-01-11,8b1cafb01a524f818be66c75fd16226f
233,M,Tropical Cyclone,Typhoon Iliang,"July 18-21, 1974",,,Region 1|2|3|4,,,,,,,,,21,16,46,2400,14400,140,840,140,2260,9.699,23.08,5.837,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",165 kph,,,1974-07-18,1974-07-21,9ba1e64eb9cd45b98c18bbc3838b4399
234,M,Tropical Cyclone,Typhoon Susang,"October 8-12, 1974",,,Region 1|2|3|6|7,,,,,,,,,26,40,3,7142,35562,,,,,12.448,16.351,16.408,,,,,,,,53000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",231 kph,,,1974-10-08,1974-10-12,e76cab4dd9f64370a4ea1dc4f927f4eb
235,M,Tropical Cyclone,Typhoon Tering,"October 14-17, 1974",,,Region 1|2|3|5|6,,,,,,,,,13,9,,7756,28486,,,,,4.913,59.391,,,,,,,,,208000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",110 kph,,,1974-10-14,1974-10-17,580c9bcd786b46319fa7ef93b5daef29
236,M,Tropical Cyclone,Typhoon Wening,"October 25-26, 1974",,,Region 1|2|3,,,,,,,,,23,50,,55575,227902,,,,,80.04,34.388,2.971,,,,,,,,877000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",269 kph,,,1974-10-25,1974-10-26,077a0968d76146b095ecf953a2310814
237,M,Tropical Cyclone,Typhoon Yaning,"October 31 - November 2, 1974",,,Zamboanga del Sur|Laguna,,,,,,,,,1,1,,,,,,,,0.14,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",96 kph,,,1974-10-31,1974-11-02,da0b5a65f11d4cb7a2c6055d511c081e
238,M,Tropical Cyclone,Typhoon Aning,"November 4-7, 1974",,,Region 1|2|4|5,,,,,,,,,3,2,,22835,131609,1301,7806,1301,2329,0.391,1.547,0.077,,,,,,,,79000,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",156 kph,,,1974-11-04,1974-11-07,d4b16d5cb4ef4d58b329c920f576961a
239,M,Tropical Cyclone,Typhoon Bidang,"November 24-29, 1974",,,Central Luzon|Visayas|National Capital Region (NCR),,,,,,,,,1,,,,,,,,,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",141 kph,,,1974-11-24,1974-11-29,9f99da581e2a476ab2d82465e9ce9c49
241,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,"October 2-9, 1973",,,Region 1|2|3|4|5,,,,,,,,,1,,,,,,,,,7.687,27.523,3.952,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",150 kph,,,1973-10-02,1973-10-09,0e30b01aa1cd4e51ad91d4e90906086e
242,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,"November 18-24, 1973",,,Region 6|7|8|9|10,,,,,,,,,73,24,89,,,,,,,33.927,156.774,6.577,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",89 kph,,,1973-11-18,1973-11-24,d8ae901bbc43413eadad00a42ef6aba3
243,M,Tropical Cyclone,243 destructive cyclones from 1970-2003,"November 24-29, 1973",,,Cavite|Pampanga|Nueva Ecija,,,,,,,,,,,,,,,,,,0.77,5.401,1.504,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1973-11-24,1973-11-29,2d3217d9f3144e819556c50eacd830e3
245,M,Tropical Cyclone,Tropical Storm Asiang,"January 5-9, 1972",,,Eastern Visayas,,,,,,,,,204,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1972-01-05,1972-01-09,ae875b37a8584e1a9ab5d1b3db2d78be
246,M,Tropical Cyclone,Typhoon Konsing,"January 23-25, 1972",,,Region 3|4|5,,,,,,,,,,,,,,,,,,14.596,5.592,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1972-01-23,1972-01-25,7a0e90ee1c854482b2cf0a80d968c835
247,M,Tropical Cyclone,Typhoon Toyang,"November 4-5, 1972",,,Visayas|I|II|CAR,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1972-11-04,1972-11-05,4c5a060f88fb40e8a96eb42d4f0aa2e2
248,M,Tropical Cyclone,Typhoon Undang,"December 1-8, 1972",,,Northern Mindanao|Visayas|Palawan,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1972-12-01,1972-12-08,596a38b2b9024227a3266c306ee1ace2
250,M,Tropical Cyclone,Typhoon Diding,"April 23-26, 1971",,,Visayas,,,,,,,,,56,39,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",160 kph,,,1971-04-23,1971-04-26,dcc8fbcc8367441f820fc73ad8b7396f
251,M,Tropical Cyclone,Typhoon Herming,"May 25-27, 1971",,,V|IV-A|VIII,,,,,,,,,13,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",150 kph,,,1971-05-25,1971-05-27,ee6ffa72d99c46d8b2e75cfff1c74759
252,M,Tropical Cyclone,Typhoon Mambing,"June 23-26, 1971",,,Visayas|V|IV-A,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",150 kph,,,1971-06-23,1971-06-26,e2bd2bcc76db45d6ad9b00f1ec15a0b2
253,M,Tropical Cyclone,Tropical Storm Krising,"October 6-11, 1971",,,Luzon,,,,,,,,,10,8,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",100 kph,,,1971-10-06,1971-10-11,32d1594987764b90a12b7d18c3b5fcf7
254,M,Tropical Cyclone,Tropical Storm Dading,"October 11-13, 1971",,,I|CAR|II|IIII,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",70 kph,,,1971-10-11,1971-10-13,a220f9cc02734b60ba41bdb439a6027f
255,M,Tropical Cyclone,Tropical Storm Goying,"October 19-22, 1971",,,Northern Mindanao,,,,,,,,,6,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",100 kph,,,1971-10-19,1971-10-22,9f1765954b754d58b217bf868912c33d
257,M,Tropical Cyclone,Typhoon Atang,"February 23-27, 1970",,,V|VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",220 kph,,,1970-02-23,1970-02-27,8e33386f7851496dbbf35d9997758b75
258,M,Tropical Cyclone,Tropical Storm Oyang,"September 4-6, 1970",,,V|IV-A|VIII,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",90 kph,,,1970-09-04,1970-09-06,4fbd84cb210848db8a86983d6c181955
259,M,Tropical Cyclone,Typhoon Pitang,"September 8-12, 1970",,,Misamis Occidental|Davao del Sur|Samar,,,,,,,,,,,,1326,7716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",240 kph,,,1970-09-08,1970-09-12,4321fd55baaa4627992129d868cb926b
260,M,Tropical Cyclone,Typhoon Sening,"September 12-15, 1970",,,Region 2|3|4|6,,,,,,,,,575,1593,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",275 kph,,,1970-09-12,1970-09-15,f83d6108bcbb4948956b579e5bd05c7f
261,M,Tropical Cyclone, Tropical Storm Titang,"October 16-22, 1970",,,Northern Mindanao|Western Visayas,,,,,,,,,631,76,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",100 kph,,,1970-10-16,1970-10-22,2dc7de12c0c84c08a7af505566888f0c
262,M,Tropical Cyclone,Typhoon Yoling,"November 17-20, 1970",,,Region 3|4|5,,,,,,,,,80,284,17,17044,102264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",200 kph,,,1970-11-17,1970-11-20,d881daa460f8494cb17cf0c7b00d8fa9
263,M,Tropical Cyclone,Typhoon Norming,"December 11-15, 1998",,,Region 3|4|5|6|8,Landslide (Wet)|Flash Flood|Flood (General),"PAGASA, LGU","Severe Weather Bulletin, Flood Advisory",,182.0,"NDCC, WESCOM HQ",,516,33,30,36,70620,297171,6240,38837,3234,6423,278.912,644.322,137.665,Total black out due to power breakdown from damaged posts,out of service,partially to fully damages,boats capsized,,"preventive discharges without detrital effects to communities for dams Angat, Ambuklao, Magat, Kalayaan",need restoration of pumps,,"NDCC, LGU, DOH, PNRC",,,,"100 rice sakcs, 130 canned goods",,with provision,,,,with provision,,,"NDCC, AFP","Enhancement of warning/alert systems for community, special concern for fisherfolk. Improvement of field reporting, monitoring, and communication.",,,"NDCC. 1998. Typhoon Norming 11-15 December 1998, OCD NDCC Report, Quezon City, Philippines.","Typhoon Norming, strongest sustained wind 150 kph, gustiness 150 kph, movement west southwest at 24 kph towards Vietnam, entered Philippine Area of Responsibiliy on December 9 10:00AM at 55 kph 970km east southeast of Guian, landfall over Eastern Samar at December 10 4:00PM, by December 11 4:00PM was 80km west southwest of Coron",,,1998-12-11,1998-12-15,5bbb6e0c20314b4a89c881514632ea85
264,M,Tropical Cyclone,Typhoon Toyang,"November 29 - December 2, 2000",,,Region 7|Region 8|CARAGA,Landslide (Wet)|Flash Flood|Flood (General),"PAGASA, LGU","Severe Weather Bulletin, Flood Advisory",,105.0,"NDCC, VISCOM",,286,9,3,3,9891,50927,4701,22811,1272,57,,0.58,,reported power interruptions,,5 bridges collapsed,1459 stranded ferry passengers,,,,262560,"LGU, City Council of Toledo, DPWH, AFP, NDCC",,,,,,,,,,,,,"NDCC, AFP",,,,NDCC OCD Final Report,"Typhoon Toyang entered PAR 8AM Nov 27, expected landfall by Nov 29, maximum winds of 75 kph, gustiness up to 90 kph, as of Dec 1 provinces lowered to Signal No 1 with only 55 kph wind and Dec 2 over Sibuyan Sea",International Name Typhoon Rumbia (Toyang). Total of 114 evac centers used.,,2000-11-29,2000-12-02,b6bc2c55365545528340f1322e21651c
265,M,Tropical Cyclone,Southwest Monsoon Rains,"June 28 - July 14, 2002",,,Region 1|3|4|6|11|12|NCR|CAR,Landslide (Wet)|Flash Flood|Flood (General),PAGASA,Severe Weather Bulletin,,75.0,,,2125,61,41,5,425072,1994369,3632,16593,404,2059,104.103,287.393,0.71,,,"Some roads not passable, ",Several maritime incidents,,dam gates opened for Ambuklao and Binga Dams,,25602755,"NDCC, LGU, AFP, DSWD, DOH, DOTC, PCG, PNRC, NFA",,,,,,,,,,,,,,,,,,Two weeks of rain,"Typhoon Rammasun (Florita, June 28-July 3), Typhoon Chataan (Gloria, June 7-9), Typhoon Nakri (Hambalos, July 9), Typhoon Halong (Inday, July 12-14)",,2002-06-28,2002-07-14,93b4c3b7dd754a26bc7d814123aee7e9
266,M,Tropical Cyclone,Tropical Depression Milenyo,"August 11-14, 2002",,,Region 4-A|4-B|5|6|7|8|12|NCR|CARAGA,Landslide (Wet)|Flash Flood|Flood (General),"PAGASA, LGU","Severe Weather Bulletin, Flood Advisory",,15.0,NDCC,,250,35,22,21,38634,194451,2180,10998,208,652,87.918,83.04,0.631,power failure,,"2 damaged bridges, 1 collapsed; roads wash out and eroded, plus major road landslides","Several maritime accidents, fishing boats missing, ",,,,6152531.23,"NDCC, LGU,AFP, PCG, DPWH, DSWD, NGO",,,615403,,,,,,,,,,"NDCC, AFP",Release of National Calamity Fund or 5% local CF for rehabilitation. Provision for livelihood assistance for farmers affected.,,,NDCC OCD Final Report,Typhoon Milenyo,,,2002-08-11,2002-08-14,6f3cc6de4ee74b839e69317e47bbd9b8
268,I,Fire (Misc),Fire Incident Summary,"October 2 - 28, 2004",,,"NCR, Pampanga, Surigao del Norte",,"BFP, CDAG",3rd to 5th Alarm,,,,,12,10,4,,151,,,,149,,75,,,,,,,,,,,"BFP, CDAG, NDCC",,,,,,,,,,,,,,,,,,"11 fire incidents reported in NCR, 1 in Pampangga","Summary of all fire events in October 2004, done by CCLit and not from NDCC Report",,2004-10-02,2004-10-28,47b48fb999bb4d52a6cbd84ef95f225a
269,I,Fire (Misc),"San Jose St, Guadalupe Nuevo Fire",2004-10-28 00:00:00,,,Makati City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-28,2004-10-28,deea77988a5a48c6b496e39fe4994889
270,I,Fire (Misc),Brgy Holy Spirit Fire,2004-10-26 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-26,2004-10-26,f9e01f27e4a74d2bafcdfc73a20ddcc2
271,I,Fire (Misc),FTI Complex Fire,2004-10-25 00:00:00,,,City of Taguig ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-25,2004-10-25,521c7d3fa9b34ae89381c940027ef3a0
272,I,Fire (Misc),Tomas Mapua St Fire,2004-10-23 00:00:00,,,"Sta Cruz, City of Manila",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-23,2004-10-23,482332222471448eafdcde47f8f7134f
